A,O,T,mac,meanlat,meanmac,meanwhak,minlat,n,p,perimeter,q,r,whak
1.769e12,375000.0,276.8,717.1,-30.32,4.053e-10,2.821e-11,24.12,25,-1,6.314e6,5.872e-10,1039.0,49.9
2.627e12,383900.0,227.7,377.3,-65.35,1.436e-10,2.108e-13,57.52,25,-1,7.651e6,1.944e-10,510.8,0.5539
2.158e12,411600.0,270.4,3748.0,-32.84,1.737e-9,1.337e-10,27.83,25,-1,7.519e6,3.929e-9,8480.0,288.6
1.986e13,502200.0,254.0,15830.0,-46.61,7.97e-10,1.152e-9,1.856,26,-1,3.605e7,3.621e-9,71910.0,22880.0
1.231e13,560700.0,244.4,13720.0,-50.4,1.114e-9,5.381e-11,31.54,26,-1,2.223e7,3.675e-9,45250.0,662.5
1.024e13,450600.0,236.6,8443.0,66.95,8.242e-10,2.671e-11,42.68,26,-1,2.455e7,2.533e-9,25950.0,273.6
1.712e11,412700.0,295.8,366.8,-5.567,2.142e-9,1.641e-9,5.567,26,-1,1.663e6,3.564e-9,610.2,281.0
3.535e12,504900.0,290.3,2035.0,19.84,5.756e-10,3.557e-10,9.278,26,-1,9.678e6,9.501e-10,3358.0,1257.0
4.982e13,823800.0,276.4,58400.0,-26.49,1.172e-9,1.838e-9,1.856,26,-1,5.974e7,5.512e-9,274600.0,91580.0
1.57e11,380600.0,287.1,29.19,24.12,1.859e-10,4.269e-11,24.12,26,-1,1.593e6,2.029e-10,31.86,6.703
1.913e12,388800.0,248.9,3698.0,51.44,1.933e-9,5.977e-11,46.39,26,-1,6.364e6,7.285e-9,13940.0,114.3
1.037e13,574000.0,292.2,33700.0,-7.483,3.249e-9,9.564e-9,1.856,26,-1,1.959e7,2.713e-8,281400.0,99200.0
8.829e12,507600.0,260.5,11710.0,44.48,1.327e-9,7.254e-11,16.7,26,-1,1.744e7,4.078e-9,36010.0,640.5
8.907e11,378900.0,278.5,1483.0,30.28,1.664e-9,2.442e-10,27.83,26,-1,4.525e6,2.813e-9,2505.0,217.6
3.577e13,557500.0,247.5,28100.0,-46.68,7.855e-10,7.422e-10,1.856,27,-1,5.304e7,3.056e-9,109300.0,26550.0
2.572e13,649700.0,287.8,32520.0,11.08,1.264e-9,1.438e-9,1.856,27,-1,3.887e7,4.29e-9,110300.0,36980.0
2.058e13,482300.0,254.1,19390.0,50.15,9.423e-10,6.097e-10,5.567,27,-1,4.06e7,3.229e-9,66460.0,12550.0
1.268e12,393700.0,286.5,190.7,-22.68,1.504e-10,3.421e-11,20.41,27,-1,5.576e6,1.634e-10,207.3,43.39
9.117e12,609200.0,240.4,8457.0,58.85,9.276e-10,1.193e-11,50.1,27,-1,1.47e7,2.424e-9,22100.0,108.8
1.676e11,406300.0,295.0,46.01,12.99,2.745e-10,1.3e-10,12.99,27,-1,1.646e6,3.041e-10,50.98,21.79
4.873e11,393700.0,291.5,197.8,-19.16,4.058e-10,1.491e-10,16.7,27,-1,3.236e6,4.659e-10,227.0,72.67
1.348e12,352100.0,248.4,2706.0,49.03,2.007e-9,6.512e-11,46.39,27,-1,5.751e6,9.032e-9,12180.0,87.8
1.351e12,410800.0,293.7,4083.0,10.65,3.022e-9,4.747e-9,5.567,27,-1,5.765e6,1.319e-8,17820.0,6413.0
7.783e12,530300.0,251.7,18100.0,48.02,2.325e-9,1.438e-10,38.97,27,-1,1.601e7,1.096e-8,85320.0,1119.0
