A,mac,meanmac,meanwhak,whak,lat,Area Range,Latitude Range,whakfrac,macfrac
0.00467,0.0208,0.00873,5.54e-05,0.000132,50.7,0,3,2.4e-05,0.00459
0.00161,0.00976,0.0119,0.00547,0.0045,16.7,0,1,0.000819,0.00216
0.0873,1.14,0.0256,0.0193,0.859,48.4,2,3,0.204,0.271
0.0688,1.23,0.035,0.00143,0.0503,50,2,3,0.0119,0.292
0.00167,0.00322,0.00378,3.65e-06,3.1e-06,87.2,0,4,7.38e-07,0.000766
0.0024,0.0122,0.00997,0.00186,0.00228,26.8,0,1,0.000541,0.0029
0.00153,0.00598,0.00768,0.00186,0.00145,24.8,0,1,0.000345,0.00142
0.0516,1.24,0.0472,0.0802,2.11,20.2,2,1,0.502,0.296
0.00305,0.0188,0.0121,0.00343,0.00534,25.1,0,1,0.00127,0.00448
0.000162,0.00197,0.0238,0.000135,1.11e-05,61.2,0,3,2.65e-06,0.000468
0.00798,0.295,0.0724,0.174,0.706,8.92,0,0,0.168,0.0701
0.00744,0.255,0.0671,0.124,0.47,14.9,0,0,0.112,0.0606
0.112,2.04,0.0356,0.0285,1.63,24.2,3,1,0.325,0.465
0.037,0.494,0.0261,0.00117,0.0221,61.4,1,3,0.0044,0.112
0.000329,0.0034,0.0203,0.0113,0.0019,13,0,0,0.000378,0.000775
0.00163,0.0436,0.0526,0.00102,0.000844,52.8,0,3,0.000168,0.00994
0.036,0.755,0.0411,0.0583,1.07,28.5,1,1,0.213,0.172
0.000262,0.0142,0.106,0.0106,0.00142,39,0,2,0.000282,0.00324
0.00146,0.0198,0.0267,0.00342,0.00254,30,0,2,0.000506,0.00452
0.00854,0.0325,0.00746,0.00224,0.00974,24.6,0,1,0.00194,0.0074
0.00818,0.254,0.0607,0.129,0.54,12.9,0,0,0.108,0.0577
0.00556,0.271,0.0957,0.00829,0.0235,41,0,2,0.00468,0.0618
0.000308,0.000459,0.00292,0.00058,9.1e-05,24.1,0,1,1.81e-05,0.000105
0.00639,0.44,0.135,0.523,1.7,2.04,0,0,0.339,0.1
0.00324,0.0228,0.0138,0.00731,0.0121,15.9,0,1,0.0024,0.00519
0.00167,0.00279,0.00328,2.34e-06,1.99e-06,87.2,0,4,5.37e-07,0.00065
0.0219,0.883,0.079,0.112,1.26,8.97,1,0,0.339,0.206
0.0501,0.747,0.0292,0.002,0.0511,58.6,2,3,0.0138,0.174
0.000325,0.00371,0.0224,0.000135,2.24e-05,61.2,0,3,6.04e-06,0.000866
0.000181,0.00315,0.0342,0.000323,2.98e-05,57.5,0,3,8.04e-06,0.000736
0.0229,0.204,0.0175,0.00151,0.0176,43.2,1,2,0.00475,0.0475
0.00746,0.282,0.074,0.00305,0.0116,49.1,0,3,0.00313,0.0657
0.0121,0.451,0.0733,0.127,0.783,13.5,0,0,0.211,0.105
0.00937,0.481,0.101,0.157,0.751,1.84,0,0,0.202,0.112
0.00363,0.0104,0.0056,1.55e-05,2.87e-05,58.7,0,3,7.75e-06,0.00242
0.00937,0.204,0.0427,0.0423,0.202,27.1,0,1,0.0545,0.0476
0.000323,0.00168,0.0102,0.00527,0.000868,16.7,0,1,0.000234,0.000393
0.00212,0.0928,0.0858,0.00525,0.00568,45.4,0,3,0.00153,0.0217
0.0711,0.918,0.0253,0.0173,0.626,3.88,2,0,0.169,0.214
0.000323,0.00303,0.0184,0.00897,0.00148,16.7,0,1,0.000399,0.000706
0.00872,0.016,0.00361,2.97e-06,1.32e-05,78.8,0,4,1.69e-06,0.0028
0.0468,1.54,0.0648,0.117,2.79,14.4,1,0,0.357,0.27
0.125,2.76,0.0433,0.0455,2.89,24.9,3,1,0.371,0.482
0.000162,0.0023,0.0278,0.000192,1.59e-05,61.2,0,3,2.04e-06,0.000403
0.000714,0.00748,0.0205,9.59e-05,3.49e-05,64.9,0,3,4.48e-06,0.00131
0.00323,0.0101,0.00614,2.96e-05,4.87e-05,50.2,0,3,6.24e-06,0.00176
0.0247,0.888,0.0704,0.106,1.34,13.6,1,0,0.172,0.155
0.00224,0.102,0.0889,0.00625,0.00715,42.1,0,2,0.000917,0.0178
0.000287,0.00109,0.00742,0.00101,0.000148,31.5,0,2,1.9e-05,0.00019
0.00307,0.0459,0.0294,0.00986,0.0154,24.4,0,1,0.00198,0.00802
0.00236,0.199,0.165,0.624,0.75,1.85,0,0,0.0961,0.0347
0.00105,0.0497,0.0928,0.00702,0.00376,39,0,2,0.000481,0.00868
0.00293,0.0821,0.055,0.00276,0.00412,37.4,0,2,0.000529,0.0144
0.000713,0.0184,0.0506,0.00165,0.000601,45.1,0,3,7.71e-05,0.00322
0.00167,0.00311,0.00366,2.88e-06,2.45e-06,87.2,0,4,4.35e-07,0.000689
0.186,3.33,0.035,0.0339,3.23,10,4,0,0.573,0.737
